Салат с куриным филе, овощами и йогуртовой заправкой;300 г куриного филе, 250 г помидоров, 100 г маринованных корнишонов, 100 г сельдерея, 100 г салат, 20 г горчицызаправка: 200 г натурального йогурта без добавок, 2–3 зубчика чеснока, зелень по вкусу, соль, перец;https://www.say7.info/cook/recipe/1127-Salat-kurinyim.html
Салат с утиным филе, рукколой и спаржей;250 г утиного филе, 200 г помидоров, 150 г спаржи, руккола, 50 мл растительного масла, 1 ст.л. сушеных трав, 2 ч.л. горчицы, 2–3 зубчика чеснока, соль, перец;https://www.say7.info/cook/recipe/1285-Salat-utinyim.html
Салат с яблоками, курагой и грецкими орехами;100 г моркови, 100 г яблок, 100 г кураги, 100 г грецких орехов, сок половины лимона, йогурт, кунжут;https://www.say7.info/cook/recipe/1280-Salat-yablokami.html
Салат с запеченной семгой и овощами;300 г филе семги или форели, 250 г помидоров, 150 г огурцов, листья зеленого салатазаправка: 4 ст.л. растительного масла, 2 ст.л. соевого соуса, 4 ст.л. сока лайма и ли лимона, 3 зубчика чеснока, 3 ст.л. кунжута, соль, перец;https://www.say7.info/cook/recipe/797-Salat-zapechennoy.html
Салат с куриными сердечками и яичными блинчиками;500 г куриных сердечек, 3 яйца, 150 г лука, зелень по вкусу, 2–3 лавровых листа, 6–7 горошин душистого перца, соль, перец, растительное масло, майонез;https://www.say7.info/cook/recipe/1299-Salat-kurinyimi.html
Салат со свеклой, куриным филе и фасолью;300 г куриного филе, 250 г свеклы, 250 г фасоли, 150 г маринованных огурцов, 150 г лука, зелень по вкусу, майонез, сливочное масло, соль;https://www.say7.info/cook/recipe/1237-Salat-svekloy.html
Салат «Хрустящий»;200 г белого батона, 250 г куриного филе, 150 г сыра, 300 г огурцов, 150 г лука, 1 пучок зеленого салатазаправка: 4 ст.л. растительного масла, 3 зубчика чеснока, 1 ст.л. уксуса 6%, соль, перец;https://www.say7.info/cook/recipe/158-Salat-KHrustyaschiy.html
Салат с карпаччо, черри и ароматной заправкой;150 г карпаччо, 150 г черри, 150 г зеленого салата, 12 перепелиных яицзаправка: 50 мл растительного масла, лайм, ½ ч.л. сушеного майорана, ½ ч.л. сушеного базилика, соль, перец;https://www.say7.info/cook/recipe/896-Salat-karpachcho.html
Салат с языком, маринованным луком, горошком и огурцами;500 г языка, 200 г моркови, 150 г лука, соль, перецмаринованный лук: 150 г лука, 15 ст.л. воды, 10 ст.л. уксуса 6–9%, 3 ст.л. сахара, 1 ч.л. солитакже: 200 г огурцов, 200 г горошка, 200 г помидоров, 6–8 препелиных яиц, майонез;https://www.say7.info/cook/recipe/1255-Salat-yazyikom.html
Салат «Гнездо глухаря»;500 г куриного филе, 5 яиц, 500 г картофеля, 100 г лука, 250 г огурцов, зелень, соль, майонез, растительное масло, 3–4 перепелиных яйца для украшения;https://www.say7.info/cook/recipe/242-Salat-Gnezdo.html
