Image Gallery — Lightbox Gallery, Responsive Photo Gallery, Masonry Gallery;https://ru.wordpress.org/plugins/new-image-gallery/;The best image gallery plugin with responsive design multiple columns lightbox preview. image gallery, responsive…;6 000+ активных установок;6.3.2
Easy Image Collage;https://ru.wordpress.org/plugins/easy-image-collage/;Создайте красивые адаптивные коллажи для всех записей и страниц;6 000+ активных установок;6.3.2
Google Maps CP;https://ru.wordpress.org/plugins/codepeople-post-map/;Google Maps CP позволяет привязывать информацию о геолокации к вашим записям и интегрировать ваш блог…;6 000+ активных установок;6.3.2
WS Form LITE — Drag & Drop Contact Form Builder for WordPress;https://ru.wordpress.org/plugins/ws-form/;Build better WordPress forms: Rapidly create professional, mobile friendly, accessible forms.;5 000+ активных установок;6.3.2
Multisite Language Switcher;https://ru.wordpress.org/plugins/multisite-language-switcher/;A simple, powerful and easy to use plugin that will help you to manage multilingual…;5 000+ активных установок;6.3.2
Shopping Cart & eCommerce Store;https://ru.wordpress.org/plugins/wp-easycart/;"БЕСПЛАТНЫЙ плагин для WordPress; WordPress Shopping Cart плагин позволяет продавать товары, скачивать, вести сервисное обслуживание,…";5 000+ активных установок;6.3.2
Print My Blog — Print, PDF, & eBook Converter WordPress Plugin;https://ru.wordpress.org/plugins/print-my-blog/;Создайте печатную версию вашего блога просто и выразительно. Для вас & ваших посетителей. Не важно…;5 000+ активных установок;6.2.3
Pricing Table — Price Table, Price list, Easy Pricing Table;https://ru.wordpress.org/plugins/abc-pricing-table/;Таблица цен будет очень полезна для новых пользователей. Таблица цен, адаптивная таблица цен Простое ценообразование,…;5 000+ активных установок;6.3.2
Poll Maker — Лучший плагин для опросов WordPress;https://ru.wordpress.org/plugins/poll-maker/;Poll Maker — это БЕСПЛАТНЫЙ плагин для опросов WordPress, который позволит вам создавать настраиваемые и…;5 000+ активных установок;6.3.2
Countdown Block;https://ru.wordpress.org/plugins/countdown-block/;Highlight Upcoming Events With Countdown Timer with Countdown Block.;5 000+ активных установок;6.2.3
Simple Iframe;https://ru.wordpress.org/plugins/simple-iframe/;Easily insert iframes inside the block editor.;5 000+ активных установок;6.3.0
Payment forms, Buy now buttons and Invoicing System | GetPaid;https://ru.wordpress.org/plugins/invoicing/;Payments & Invoicing plugin for WordPress to quickly and easily sell online. Create buy now…;5 000+ активных установок;6.3.2
Unsplash;https://ru.wordpress.org/plugins/unsplash/;Search and use the internet’s largest library of freely usable images from Unsplash right from…;5 000+ активных установок;5.5.13
Album Gallery — WordPress Gallery;https://ru.wordpress.org/plugins/new-album-gallery/;Image Album, Photo Album, Video Album, Content Album Gallery — An attractive and easy to…;5 000+ активных установок;6.3.2
Quiz Cat — WordPress Quiz Plugin;https://ru.wordpress.org/plugins/quiz-cat/;Quiz Cat Lets You Create Beautiful Viral BuzzFeed-style Quizzes That Drive Social Shares & User…;5 000+ активных установок;6.3.2
Sticky Block for Gutenberg Editor;https://ru.wordpress.org/plugins/sticky-block/;The Gutenberg Sticky Block will stick at the top of the page once you scroll…;5 000+ активных установок;6.2.3
Browser Screenshots;https://ru.wordpress.org/plugins/browser-shots/;Автоматизируйте процесс создания скриншотов веб-сайтов.;5 000+ активных установок;6.2.0
Forms for Mailchimp by Optin Cat — Grow Your MailChimp List;https://ru.wordpress.org/plugins/mailchimp-wp/;Forms for Mailchimp by Optin Cat helps you grow your MailChimp list. Create popups, inline…;4 000+ активных установок;6.3.2
